Year,District,Code,Location,Robbery,Street_robbery,Injury,Agg_assault,Threat,Theft,Car,From_car,Bike,Burglary,Fire,Arson,Damage,Graffiti,Drugs,Local,area
2012,Friedrichshain-Kreuzberg,20304,Südliche Luisenstadt,109,82,395,138,101,1932,35,226,347,150,27,11,441,129,423,963,['Südliche Luisenstadt']
2012,Friedrichshain-Kreuzberg,20405,Karl-Marx-Allee-North,58,34,235,61,55,1242,71,206,185,56,15,5,356,46,23,625,['Karl-Marx-Allee-Nord']
2012,Friedrichshain-Kreuzberg,20407,Karl-Marx-Allee-South,86,57,471,123,105,2725,46,242,299,59,22,7,537,87,167,1040,['Karl-Marx-Allee-Süd']
2012,Friedrichshain-Kreuzberg,20506,Frankfurter Allee North,34,16,265,83,80,1528,55,117,286,59,48,15,534,84,50,824,['Frankfurter Allee Nord']
2012,Friedrichshain-Kreuzberg,20508,Frankfurter Allee South Fk,140,80,865,276,159,3588,62,291,616,166,67,22,1171,272,256,2086,['Frankfurter Allee Süd Fk']
2012,Pankow,30101,Buch,16,6,154,45,48,1035,32,190,199,21,18,6,191,35,31,323,['Buch']
2012,Pankow,30202,"Blankenfelde,Niederschönhausen",12,4,136,27,54,782,37,179,148,69,26,14,215,31,11,337,"['Blankenfelde', 'Niederschönhausen']"
2012,Pankow,30203,Buchholz,9,3,71,13,38,456,21,69,56,38,10,1,114,7,16,182,['Buchholz']
2012,Pankow,30304,Karow,3,1,44,6,32,481,11,85,183,19,10,6,118,24,4,151,['Karow']
2012,Pankow,30307,"Blankenburg,Heinersdorf,Märchenland",7,1,74,9,21,898,14,160,149,55,12,4,154,9,16,161,"['Blankenburg', 'Heinersdorf', 'Märchenland']"
2012,Pankow,30405,"Schönholz,Wilhelmsruh,Rosenthal",23,10,79,24,26,599,17,138,111,82,7,1,143,19,20,229,"['Schönholz', 'Wilhelmsruh', 'Rosenthal']"
2012,Pankow,30406,Pankow Central,33,11,212,62,83,2089,60,220,511,61,13,5,382,101,35,811,['Pankow Zentrum']
2012,Pankow,30408,Pankow South,21,9,204,35,67,1235,56,170,388,50,10,7,298,78,24,616,['Pankow Süd']
2012,Pankow,30509,Weißensee,34,15,308,78,99,1537,46,192,219,93,18,11,486,152,54,838,['Weißensee']
2012,Pankow,30510,Weißensee East,20,8,103,23,50,610,20,105,74,23,4,1,205,32,18,334,['Weißensee Ost']
2012,Pankow,30611,Prenzlauer Berg Northwest,80,32,228,68,83,1716,95,176,406,78,19,8,339,113,85,766,['Prenzlauer Berg Nordwest']
2012,Pankow,30612,Prenzlauer Berg North,30,10,159,33,60,1870,86,146,407,67,5,0,282,75,33,582,['Prenzlauer Berg Nord']
2012,Pankow,30613,Helmholtzplatz,23,6,189,47,52,1215,41,74,283,99,9,3,261,100,29,614,['Helmholtzplatz']
2012,Pankow,30614,Prenzlauer Berg East,60,28,240,72,79,2063,57,216,289,61,19,9,439,131,51,714,['Prenzlauer Berg Ost']
2012,Pankow,30715,Prenzlauer Berg Southwest,18,12,344,92,71,2016,52,223,381,149,10,2,536,192,34,996,['Prenzlauer Berg Südwest']
2012,Pankow,30716,Prenzlauer Berg South,16,6,166,30,81,1393,116,186,326,127,15,4,409,84,53,672,['Prenzlauer Berg Süd']
2012,Charlottenburg-Wilmersdorf,40101,Charlottenburg-North,41,14,278,73,129,1006,70,304,60,99,9,2,245,5,159,740,['Charlottenburg-Nord']
2012,Charlottenburg-Wilmersdorf,40202,Heerstrasse,21,9,213,93,36,579,37,155,58,51,7,2,141,36,31,353,['Heerstrasse']
2012,Charlottenburg-Wilmersdorf,40203,Westend,40,12,207,48,117,1974,57,282,170,112,7,2,317,36,38,662,['Westend']
2012,Charlottenburg-Wilmersdorf,40304,Schloß Charlottenburg,41,12,243,55,90,1140,31,133,288,88,9,3,231,23,44,616,['Schloß Charlottenburg']
2012,Charlottenburg-Wilmersdorf,40305,Mierendorffplatz,32,12,165,46,61,893,31,211,148,38,12,5,150,18,111,413,['Mierendorffplatz']
2012,Charlottenburg-Wilmersdorf,40306,Otto-Suhr-Allee,53,15,421,113,128,2273,37,292,429,113,15,6,436,95,112,952,['Otto-Suhr-Allee']
2012,Charlottenburg-Wilmersdorf,40307,Neue Kantstraße,43,23,164,39,86,1283,65,254,298,105,8,2,169,20,80,560,['Neue Kantstraße']
2012,Charlottenburg-Wilmersdorf,40308,Kantstraße,65,23,251,65,112,2565,24,188,248,116,9,3,234,22,118,691,['Kantstraße']
2012,Charlottenburg-Wilmersdorf,40309,Kurfürstendamm,135,59,1083,361,159,4140,54,302,197,94,7,1,405,95,178,1685,['Kurfürstendamm']
2012,Charlottenburg-Wilmersdorf,40310,Halensee,19,8,137,29,62,949,42,188,156,77,8,3,149,23,26,393,['Halensee']
2012,Charlottenburg-Wilmersdorf,40411,Grunewald,10,5,98,11,58,867,32,268,84,194,4,0,128,14,5,391,['Grunewald']
2012,Charlottenburg-Wilmersdorf,40412,Schmargendorf,5,1,82,18,41,731,31,224,77,86,3,1,104,12,10,255,['Schmargendorf']
2012,Charlottenburg-Wilmersdorf,40413,Wiesbadener Straße,12,4,64,12,34,642,30,125,129,54,1,1,143,21,9,224,['Wiesbadener Straße']
2012,Charlottenburg-Wilmersdorf,40514,Düsseldorfer Straße,41,18,241,67,117,1779,68,362,301,158,14,6,376,113,54,741,['Düsseldorfer Straße']
2012,Charlottenburg-Wilmersdorf,40515,Barstraße,19,10,110,33,43,774,23,160,142,44,6,3,151,29,14,302,['Barstraße']
2012,Charlottenburg-Wilmersdorf,40516,Volkspark Wilmersdorf,64,23,252,67,110,1656,67,241,378,114,10,4,303,66,63,712,['Volkspark Wilmersdorf']
2012,Charlottenburg-Wilmersdorf,40617,Forst Grunewald,1,0,10,3,4,94,1,56,5,0,2,1,11,1,0,21,['Forst Grunewald']
2012,Spandau,50101,Hakenfelde,17,3,225,49,86,930,20,192,80,54,6,3,239,15,28,651,['Hakenfelde']
2012,Spandau,50102,Falkenhagener Feld,40,14,432,113,181,1157,31,167,115,73,28,11,430,46,54,1166,['Falkenhagener Feld']
2012,Spandau,50103,Spandau Central,108,52,692,192,258,2371,30,201,279,68,26,7,593,103,206,1607,['Spandau Mitte']
2012,Spandau,50204,Brunsbütteler Damm,14,5,172,41,61,772,27,109,64,47,22,3,221,21,11,395,['Brunsbütteler Damm']
2012,Spandau,50205,Heerstraße North,41,20,399,95,157,1108,36,130,67,91,33,15,427,34,29,1013,['Heerstraße Nord']
2012,Spandau,50206,Wilhelmstadt,68,25,472,116,177,2158,18,214,235,100,25,10,568,85,89,1191,['Wilhelmstadt']
2012,Spandau,50307,Haselhorst,36,16,165,35,70,1143,36,208,90,52,10,1,261,21,39,575,['Haselhorst']
2012,Spandau,50308,Siemensstadt,29,7,168,36,63,739,30,111,84,39,8,4,167,30,25,405,['Siemensstadt']
2012,Spandau,50409,"Gatow,Kladow",5,1,76,15,25,435,24,129,34,65,13,5,131,20,0,158,"['Gatow', 'Kladow']"
2012,Steglitz-Zehlendorf,60101,Schloßstr.,61,28,217,50,51,2375,29,227,184,79,11,1,255,57,50,529,['Schloßstr.']
2012,Steglitz-Zehlendorf,60102,Albrechtstr.,57,20,258,29,161,1581,88,347,202,136,14,8,439,111,44,832,['Albrechtstr.']
2012,Steglitz-Zehlendorf,60203,Lankwitz,36,15,268,51,161,1084,45,200,104,89,11,3,383,75,55,748,['Lankwitz']
2012,Steglitz-Zehlendorf,60204,Ostpreußendamm,17,7,213,59,68,1165,53,244,194,96,13,5,310,37,29,482,['Ostpreußendamm']
2012,Steglitz-Zehlendorf,60305,Teltower Damm,23,7,151,38,86,1254,36,243,301,103,10,2,339,70,50,445,['Teltower Damm']
2012,Steglitz-Zehlendorf,60306,Drakestr.,18,4,206,33,106,1749,90,312,220,136,15,8,346,61,21,637,['Drakestr.']
2012,Steglitz-Zehlendorf,60407,Zehlendorf Southwest,27,7,141,21,83,1006,59,269,95,113,21,6,248,26,17,380,['Zehlendorf Südwest']
2012,Steglitz-Zehlendorf,60408,Zehlendorf North,44,22,259,51,120,1952,62,519,250,208,20,6,538,164,29,701,['Zehlendorf Nord']
2012,Tempelhof-Schöneberg,70101,Schöneberg-North,197,98,772,215,239,4048,53,425,481,292,31,11,729,157,214,1921,['Schöneberg-Nord']
2012,Tempelhof-Schöneberg,70202,Schöneberg-South,80,35,510,119,162,2699,62,312,557,219,26,11,545,145,239,1297,['Schöneberg-Süd']
2012,Tempelhof-Schöneberg,70303,Friedenau,44,15,306,66,165,2170,66,329,397,122,22,8,426,107,70,851,['Friedenau']
2012,Tempelhof-Schöneberg,70404,Tempelhof,100,36,581,129,351,3645,122,753,352,159,50,20,813,129,291,1680,['Tempelhof']
2012,Tempelhof-Schöneberg,70505,Mariendorf,57,20,367,79,150,1871,74,508,127,131,29,8,501,75,84,1006,['Mariendorf']
2012,Tempelhof-Schöneberg,70606,Marienfelde,25,11,252,41,98,1357,62,220,129,52,18,5,276,34,54,619,['Marienfelde']
2012,Tempelhof-Schöneberg,70707,Lichtenrade,38,24,322,60,114,1267,63,421,118,148,32,6,472,70,87,745,['Lichtenrade']
2012,Neukölln,80101,Schillerpromenade,169,84,676,213,252,2400,27,221,177,150,31,18,529,85,913,1965,['Schillerpromenade']
2012,Neukölln,80102,"Neuköllner Central,Central",138,55,944,290,288,4181,41,314,175,201,67,24,821,157,154,2164,"['Neuköllner Mitte', 'Zentrum']"
2012,Neukölln,80103,Reuterstraße,108,54,589,181,163,2679,48,264,310,245,24,11,509,97,226,1573,['Reuterstraße']
2012,Neukölln,80104,Rixdorf,113,55,605,198,221,2088,38,316,261,201,32,16,550,80,103,1542,['Rixdorf']
2012,Neukölln,80105,Köllnische Heide,26,14,251,71,121,1190,49,303,44,60,15,4,315,61,39,631,['Köllnische Heide']
2012,Neukölln,80206,Britz,79,49,420,105,168,2132,71,566,169,175,27,12,501,63,65,1079,['Britz']
2012,Neukölln,80207,Buckow,26,7,206,58,107,634,24,225,45,62,11,3,281,63,14,499,['Buckow']
2012,Neukölln,80308,Gropiusstadt,52,30,350,72,131,1942,25,195,140,67,13,1,525,79,32,1070,['Gropiusstadt']
2012,Neukölln,80409,Buckow North,14,3,65,11,34,409,11,73,12,46,6,1,64,3,6,176,['Buckow Nord']
2012,Neukölln,80410,Rudow,40,25,206,50,90,1256,58,374,117,181,15,4,405,65,23,543,['Rudow']
2012,Treptow-Köpenick,90101,Alt-Treptow,45,24,136,37,35,1028,15,95,198,53,3,2,193,69,43,376,['Alt-Treptow']
2012,Treptow-Köpenick,90102,Plänterwald,10,6,63,18,21,500,20,106,66,34,6,2,171,37,4,243,['Plänterwald']
2012,Treptow-Köpenick,90103,Baumschulenweg,20,10,113,27,60,619,25,141,81,74,10,4,248,82,37,346,['Baumschulenweg']
2012,Treptow-Köpenick,90104,Johannisthal,16,7,95,27,52,537,22,93,42,48,8,2,206,59,11,245,['Johannisthal']
2012,Treptow-Köpenick,90205,Oberschöneweide,16,5,309,58,78,838,42,147,69,51,20,12,343,58,31,636,['Oberschöneweide']
2012,Treptow-Köpenick,90206,Niederschöneweide,29,13,150,31,48,871,12,76,100,19,11,5,200,65,40,320,['Niederschöneweide']
2012,Treptow-Köpenick,90207,Adlershof,29,10,133,29,48,961,24,123,164,34,8,6,222,53,20,345,['Adlershof']
2012,Treptow-Köpenick,90208,"Köllnische Vorstadt,Spindlersfeld",9,2,122,29,30,389,11,44,74,14,15,2,191,56,17,265,"['Köllnische Vorstadt', 'Spindlersfeld']"
2012,Treptow-Köpenick,90309,Altglienicke,11,6,149,22,73,539,34,108,93,71,9,2,175,36,14,311,['Altglienicke']
2012,Treptow-Köpenick,90310,Bohnsdorf,2,0,61,11,29,340,18,58,37,27,8,1,93,24,13,134,['Bohnsdorf']
2012,Treptow-Köpenick,90311,Grünau,3,0,31,11,11,242,4,65,63,21,2,1,77,32,3,84,['Grünau']
2012,Treptow-Köpenick,90312,"Schmöckwitz,Karolinenhof,Rauchfangswerder",0,0,13,3,3,146,2,53,4,14,3,3,31,9,0,24,"['Schmöckwitz', 'Karolinenhof', 'Rauchfangswerder']"
2012,Treptow-Köpenick,90413,Köpenick-South,2,0,65,9,20,401,18,112,68,12,8,3,135,10,7,174,['Köpenick-Süd']
2012,Treptow-Köpenick,90414,Allende-Viertel,2,0,37,6,26,194,12,31,36,3,1,0,66,15,2,100,['Allende-Viertel']
2012,Treptow-Köpenick,90415,Altstadt-Kietz,4,0,75,15,21,224,5,27,57,5,5,3,123,37,10,173,['Altstadt-Kietz']
2012,Treptow-Köpenick,90416,Müggelheim,1,1,10,0,13,113,7,41,21,8,1,1,46,2,1,43,['Müggelheim']
2012,Treptow-Köpenick,90517,Friedrichshagen,9,2,64,11,28,516,16,89,172,28,5,1,144,29,6,173,['Friedrichshagen']
2012,Treptow-Köpenick,90518,"Rahnsdorf,Hessenwinkel",2,1,26,7,8,290,15,51,105,44,2,0,41,3,2,56,"['Rahnsdorf', 'Hessenwinkel']"
2012,Treptow-Köpenick,90519,Dammvorstadt,7,4,122,30,21,568,9,43,93,12,13,7,148,33,35,244,['Dammvorstadt']
2012,Treptow-Köpenick,90520,Köpenick-North,5,2,45,9,20,245,4,42,43,33,3,0,88,14,6,118,['Köpenick-Nord']
2012,Marzahn-Hellersdorf,100101,Marzahn-North,35,14,442,89,104,751,34,123,97,31,33,10,353,55,49,811,['Marzahn-Nord']
2012,Marzahn-Hellersdorf,100102,Marzahn-Central,70,30,721,131,204,2109,104,416,145,50,49,20,624,59,77,1460,['Marzahn-Mitte']
2012,Marzahn-Hellersdorf,100103,Marzahn-South,55,20,295,61,91,1534,135,372,119,41,37,19,411,81,19,648,['Marzahn-Süd']
2012,Marzahn-Hellersdorf,100204,Hellersdorf-North,68,37,652,143,175,1576,46,230,133,28,57,16,640,173,70,1199,['Hellersdorf-Nord']
2012,Marzahn-Hellersdorf,100205,Hellersdorf-East,26,11,289,70,101,598,21,89,122,10,30,5,336,86,21,630,['Hellersdorf-Ost']
2012,Marzahn-Hellersdorf,100206,Hellersdorf-South,20,10,223,44,95,704,35,119,78,26,20,3,322,97,15,541,['Hellersdorf-Süd']
2012,Marzahn-Hellersdorf,100307,Biesdorf,20,10,141,31,55,1153,36,213,192,97,9,1,213,45,21,287,['Biesdorf']
2012,Marzahn-Hellersdorf,100408,Kaulsdorf,21,9,110,15,39,465,17,89,89,77,2,1,150,27,8,251,['Kaulsdorf']
2012,Marzahn-Hellersdorf,100409,Mahlsdorf,6,4,89,20,49,607,20,117,89,97,4,2,268,87,23,250,['Mahlsdorf']
2012,Lichtenberg,110101,"Malchow, Wartenberg Und Falkenberg",2,1,26,4,20,178,3,21,11,10,11,5,54,13,5,55,"['Malchow', ' Wartenberg Und Falkenberg']"
2012,Lichtenberg,110102,Neu-Hohenschönhausen North,27,11,328,53,93,826,30,103,152,19,15,7,276,56,40,765,['Neu-Hohenschönhausen Nord']
2012,Lichtenberg,110103,Neu-Hohenschönhausen South,30,12,330,84,81,1027,42,128,99,30,20,3,290,35,21,718,['Neu-Hohenschönhausen Süd']
2012,Lichtenberg,110204,Alt-Hohenschönhausen North,11,4,134,34,42,770,18,120,40,59,7,3,150,30,12,314,['Alt-Hohenschönhausen Nord']
2012,Lichtenberg,110205,Alt-Hohenschönhausen South,26,10,234,48,74,1243,59,266,146,70,12,6,334,72,13,647,['Alt-Hohenschönhausen Süd']
2012,Lichtenberg,110306,Fennpfuhl,26,14,284,77,90,1232,67,243,187,89,17,8,419,90,22,748,['Fennpfuhl']
2012,Lichtenberg,110307,Alt-Lichtenberg,25,10,350,81,119,2071,58,328,194,76,26,11,377,75,35,818,['Alt-Lichtenberg']
2012,Lichtenberg,110308,Frankfurter Allee South,19,6,67,18,16,578,24,96,111,25,6,2,105,12,52,200,['Frankfurter Allee Süd']
2012,Lichtenberg,110409,Neu Lichtenberg,27,16,284,68,95,1286,53,150,174,83,30,9,428,128,62,734,['Neu Lichtenberg']
2012,Lichtenberg,110410,Friedrichsfelde North,22,15,174,43,41,683,30,159,39,38,7,2,202,64,24,379,['Friedrichsfelde Nord']
2012,Lichtenberg,110411,Friedrichsfelde South,28,9,159,34,54,790,41,142,88,60,10,3,225,61,17,402,['Friedrichsfelde Süd']
2012,Lichtenberg,110512,Rummelsburger Bucht,4,0,18,6,7,227,4,69,48,7,16,6,67,20,2,60,['Rummelsburger Bucht']
2012,Lichtenberg,110513,Karlshorst,8,3,95,18,41,694,15,137,124,63,8,2,180,60,24,273,['Karlshorst']
2012,Reinickendorf,121031,East 1 - Reginhardstr.,60,21,400,101,169,1119,38,205,179,110,11,4,337,34,137,939,['Ost 1 - Reginhardstr.']
2012,Reinickendorf,121032,East 2 - Alt-Reinickendorf,50,18,290,63,128,1525,37,301,215,79,22,10,324,53,149,721,['Ost 2 - Alt-Reinickendorf']
2012,Reinickendorf,122141,"West 1 - Tegel-South,Flughafensee",11,3,271,73,111,1556,36,406,68,105,12,1,285,27,312,644,"['West 1 - Tegel-Süd', 'Flughafensee']"
2012,Reinickendorf,122144,West 4 - Auguste-Viktoria-Allee,49,19,376,96,169,1353,27,205,107,103,15,8,328,47,86,867,['West 4 - Auguste-Viktoria-Allee']
2012,Reinickendorf,122145,"West 5 - Tegel,Tegeler Forst",24,14,233,67,61,1041,9,109,106,32,7,0,219,47,34,434,"['West 5 - Tegel', 'Tegeler Forst']"
2012,Reinickendorf,122242,"West 2 - Heiligensee,Konradshöhe",8,3,89,10,64,567,43,175,93,96,11,6,299,114,24,284,"['West 2 - Heiligensee', 'Konradshöhe']"
2012,Reinickendorf,122311,"North 1 - Frohnau,Hermsdorf",20,8,116,30,72,1059,50,293,250,155,7,4,250,57,40,340,"['Nord 1 - Frohnau', 'Hermsdorf']"
2012,Reinickendorf,123012,"North 2 - Waidmannslust,Wittenau,Lübars",38,12,332,79,115,1464,30,256,195,110,16,4,356,81,103,672,"['Nord 2 - Waidmannslust', 'Wittenau', 'Lübars']"
2012,Reinickendorf,123021,Mv 1 - Märkisches Viertel,51,21,490,126,199,2013,65,305,173,99,74,18,505,72,76,1306,['Mv 1 - Märkisches Viertel']
2012,Reinickendorf,123022,Mv 2 - Rollbergsiedlung,9,2,103,21,32,429,8,75,30,29,7,1,101,10,18,229,['Mv 2 - Rollbergsiedlung']
2012,Reinickendorf,123043,"West 3 - Borsigwalde,Freie Scholle",15,9,145,37,59,618,24,123,121,67,5,2,167,20,40,328,"['West 3 - Borsigwalde', 'Freie Scholle']"
