year,district,code,location,robbery,street_robbery,injury,agg_assault,threat,theft,car,from_car,bike,burglary,fire,arson,damage,graffiti,drugs,local
2012,Steglitz-Zehlendorf,60204,ostpreussendamm,17,7,213,59,68,1165,53,244,194,96,13,5,310,37,29,482
2012,Steglitz-Zehlendorf,60305,teltower_damm,23,7,151,38,86,1254,36,243,301,103,10,2,339,70,50,445
2012,Steglitz-Zehlendorf,60306,drakestr.,18,4,206,33,106,1749,90,312,220,136,15,8,346,61,21,637
2012,Steglitz-Zehlendorf,60407,zehlendorf_southwest,27,7,141,21,83,1006,59,269,95,113,21,6,248,26,17,380
2012,Steglitz-Zehlendorf,60408,zehlendorf_north,44,22,259,51,120,1952,62,519,250,208,20,6,538,164,29,701
2012,Steglitz-Zehlendorf,69900,bezirk_(stzd),1,0,39,16,13,244,4,15,18,1,0,0,224,171,3,64
2012,Tempelhof-Schöneberg,70101,schoenebergnorth,197,98,772,215,239,4048,53,425,481,292,31,11,729,157,214,1921
2012,Tempelhof-Schöneberg,70202,schoenebergsouth,80,35,510,119,162,2699,62,312,557,219,26,11,545,145,239,1297
2012,Tempelhof-Schöneberg,70303,friedenau,44,15,306,66,165,2170,66,329,397,122,22,8,426,107,70,851
2012,Tempelhof-Schöneberg,70404,tempelhof,100,36,581,129,351,3645,122,753,352,159,50,20,813,129,291,1680
2012,Tempelhof-Schöneberg,70505,mariendorf,57,20,367,79,150,1871,74,508,127,131,29,8,501,75,84,1006
2012,Tempelhof-Schöneberg,70606,marienfelde,25,11,252,41,98,1357,62,220,129,52,18,5,276,34,54,619
2012,Tempelhof-Schöneberg,70707,lichtenrade,38,24,322,60,114,1267,63,421,118,148,32,6,472,70,87,745
2012,Tempelhof-Schöneberg,79900,bezirk_(thsb),5,2,106,26,22,357,2,5,8,0,0,0,145,105,27,144
2012,Neukölln,80101,schillerpromenade,169,84,676,213,252,2400,27,221,177,150,31,18,529,85,913,1965
2012,Neukölln,80102,neukoellner_central,138,55,944,290,288,4181,41,314,175,201,67,24,821,157,154,2164
2012,Neukölln,80102,central,138,55,944,290,288,4181,41,314,175,201,67,24,821,157,154,2164
2012,Neukölln,80103,reuterstrasse,108,54,589,181,163,2679,48,264,310,245,24,11,509,97,226,1573
2012,Neukölln,80104,rixdorf,113,55,605,198,221,2088,38,316,261,201,32,16,550,80,103,1542
2012,Neukölln,80105,koellnische_heide,26,14,251,71,121,1190,49,303,44,60,15,4,315,61,39,631
2012,Neukölln,80206,britz,79,49,420,105,168,2132,71,566,169,175,27,12,501,63,65,1079
2012,Neukölln,80207,buckow,26,7,206,58,107,634,24,225,45,62,11,3,281,63,14,499
2012,Neukölln,80308,gropiusstadt,52,30,350,72,131,1942,25,195,140,67,13,1,525,79,32,1070
2012,Neukölln,80409,buckow_north,14,3,65,11,34,409,11,73,12,46,6,1,64,3,6,176
2012,Neukölln,80410,rudow,40,25,206,50,90,1256,58,374,117,181,15,4,405,65,23,543
2012,Neukölln,89900,bezirk_(nk),2,3,56,23,19,210,2,21,3,0,1,1,58,36,3,100
2012,Treptow-Köpenick,90101,alttreptow,45,24,136,37,35,1028,15,95,198,53,3,2,193,69,43,376
2012,Treptow-Köpenick,90102,plaenterwald,10,6,63,18,21,500,20,106,66,34,6,2,171,37,4,243
2012,Treptow-Köpenick,90103,baumschulenweg,20,10,113,27,60,619,25,141,81,74,10,4,248,82,37,346
2012,Treptow-Köpenick,90104,johannisthal,16,7,95,27,52,537,22,93,42,48,8,2,206,59,11,245
2012,Treptow-Köpenick,90205,oberschoeneweide,16,5,309,58,78,838,42,147,69,51,20,12,343,58,31,636
2012,Treptow-Köpenick,90206,niederschoeneweide,29,13,150,31,48,871,12,76,100,19,11,5,200,65,40,320
2012,Treptow-Köpenick,90207,adlershof,29,10,133,29,48,961,24,123,164,34,8,6,222,53,20,345
2012,Treptow-Köpenick,90208,koellnische_vorstadt,9,2,122,29,30,389,11,44,74,14,15,2,191,56,17,265
